primary_commodity_code,parent_code,child_code,bp
"0102","0102","0201",1
"0102","0102","0202",1
"0102","0102","020610",1
"0102","0102","020622",1
"0102","0102","020629",1
"0102","0201","160250",0
"0102","0102","4101",1
"0102","4101","4104",0
"0102","4101","4107",0
"18010000","18010000","18020000",0
"18010000","18010000","1803",0
"18010000","1803","18040000",1
"18010000","1803","18050000",1
"18010000","18050000","1806",0
"120710","120710","1511",0
"120710","120710","151321",1
"120710","120710","151329",1
"120710","120710","230660",1
"120710","151321","382319",0
"120710","151321","291590",0
"120710","151321","382370",0
"120710","151321","382311",0
"120710","151321","290545",0
"120710","151321","291570",0
"120710","151321","382312",0
"1201","1201","120810",0
"1201","1201","1507",1
"1201","1201","2304",1
"0901","0901","0901",0
"1005","1005","110220",0
"1005","1005","110313",0
"1005","1005","230210",0
"1005","1005","110430",0
"1005","1005","230330",0
"1005","1005","2208",0
"1005","1005","2207",0
"1005","1005","1904",0
"1005","1005","110423",0
"1005","110220","110812",1
"1005","110220","230310",1
"1005","110430","230670",1
"1005","110430","151521",1
"1005","110430","151529",1
"4001","4001","4005",0
"4001","4001","4006",0
"4001","4001","4007",0
"4001","4001","4008",0
"4001","4001","4010",0
"4001","4001","4011",0
"4001","4001","4012",0
"4001","4001","4013",0
"4001","4001","4015",0
"4001","4001","4016",0
"4001","4001","4017",0
"4401","4401","4402",0
"4403","4403","4404",0
"4403","4403","4405",0
"4403","4403","4406",0
"4403","4403","4407",0
"4403","4403","4408",0
"4403","4403","4409",0
"4403","4403","4410",0
"4403","4403","4411",0
"4403","4403","4412",0
"4403","4403","44130000",0
"4403","4403","4414",0
"4403","4403","4415",0
"4403","4403","44160000",0
"4403","4403","4417",0
"4403","4403","4418",0
"4403","4403","4419",0
"4403","4403","4420",0
"4403","4403","4421",0
"4403","4403","47",0
"4403","47","48",0
"4403","4403","9401",0
"4403","4403","940330",0
"4403","4403","940340",0
"4403","4403","94035000",0
"4403","4403","940360",0
"4403","4403","94039030",0
"4403","4407","94061000",0
"4403","48","4900",0
