,product_code,product_name,asso_lafo,product_group
0,47,wood pulp,1.0,
1,48,paper and paperboard,1.0,
2,102,live cattle,1.0,
3,201,fresh meat of cattle,1.0,
4,202,frozen meat of cattle,1.0,
5,901,coffee,1.0,
6,1201,soya beans,1.0,
7,1507,soya-bean oil,1.0,
8,1511,palm oil,1.0,
9,1801,cocoa beans,1.0,
10,1802,cocoa shells,1.0,
11,1803,cocoa paste,1.0,
12,1804,cocoa butter,1.0,
13,1805,cocoa powder,1.0,
14,1806,chocolate,1.0,
15,2304,soya-bean cake,1.0,
16,4001,natural rubber,1.0,
17,4005,compounded rubber,1.0,
18,4006,unvulcanised rubber,1.0,
19,4007,vulcanised rubber,1.0,
20,4008,plates sheets and strips of vulcanised rubber,1.0,
21,4010,conveyer of vulcanised rubber,1.0,
22,4011,new pneumatic tyres of rubber,1.0,
23,4012,retreaded or used pneumatic tyres of rubber,1.0,
24,4013,inner tubes of rubber,1.0,
25,4015,articles of apparel and clothing of vulcanised rubber,1.0,
26,4016,articles of vulcanised rubber other,1.0,
27,4017,hard rubber ebonite ,1.0,
28,4101,raw hides and skins of cattle,1.0,
29,4104,tanned or crust hides and skins of cattle,1.0,
30,4107,leather of cattle,1.0,
31,4401,fuel wood,1.0,fuel wood
32,4402,wood charcoal,1.0,fuel wood
33,4403,industrial roundwood,1.0,industrial roundwood
34,4404,poles,1.0,other solid wood products
35,4405,wood wool,1.0,other solid wood products
36,4406,railway sleepers,1.0,other solid wood products
37,4407,sawnwood,1.0,sawnwood
38,4408,veneer sheets,1.0,wood panels
39,4409,moulded wood,1.0,other solid wood products
40,4410,particle board,1.0,wood panels
41,4411,fibreboard,1.0,wood panels
42,4412,plywood and veneer,1.0,wood panels
43,4413,densified wood,1.0,wood panels
44,4414,wooden frames,1.0,other solid wood products
45,4415,packing cases and boxes,1.0,other solid wood products
46,4416,casks and barrels,1.0,other solid wood products
47,4417,tools of wood,1.0,other solid wood products
48,4418,joinery,1.0,other solid wood products
49,4419,tableware of wood,1.0,other solid wood products
50,4420,wood marquetry,1.0,other solid wood products
51,4421,other articles of wood,1.0,other solid wood products
52,4701,mechanical wood pulp,1.0,wood pulp
53,4702,chemical wood pulp dissolving grades,1.0,wood pulp
54,4703,chemical wood pulp soda or sulphate,1.0,wood pulp
55,4704,Chemical wood pulp sulphite,1.0,wood pulp
56,4705,wood pulp mechanical and chemical combined,1.0,wood pulp
57,4801,newsprint,,paper and paperboard
58,4802,uncoated paper,,paper and paperboard
59,4803,sanitary paper and tissue,,paper and paperboard
60,4804,uncoated kraft paper,,paper and paperboard
61,4805,uncoated paper other,,paper and paperboard
62,4810,coated paper,,paper and paperboard
63,4811,paper paperboard,,paper and paperboard
64,4818,toilet paper,,paper and paperboard
65,4819,carton boxes,,paper and paperboard
66,4823,paper of cellulose fibres,,paper and paperboard
67,4900,books and newspapers,1.0,
68,9401,wooden seats,1.0,
69,20610,fresh edible offal of cattle,1.0,
70,20622,frozen edible cattle livers,1.0,
71,20629,frozen edible cattle offal (excluding tongues and livers),1.0,
72,120710,palm nuts and kernels,1.0,
73,120810,soya bean flour and meal,1.0,
74,151321,crude palm kernel,1.0,
75,151329,palm kernel and babassu oil,1.0,
