"product","cake_extraction_rate","cake_value_share","oil_extraction_rate","oil_value_share"
"soybeans",0.79,0.64,0.18,0.36
"groundnuts",0.38,0.1905,0.3,0.8095
"coconuts",0.08,0.1036,0.13,0.8964
"palm kernels",0.52,0.1583,0.46,0.8417
"olives",,,0.22,1
"sunflower seed",0.47,0.1783,0.41,0.8217
"rapeseed",0.6,0.2745,0.38,0.7255
"sesame seed",0.51,0.0875,0.43,0.9125
"cottonseed",0.51,0.4051,0.16,0.5949
"karite nuts",,,0.25,1
"castor beans",,,0.4,1
"mustartd seed",0.58,0.2084,0.36,0.7916
"tung nuts",,,0.16,1
"jojoba seeds",,,0.35,1
"safflower seed",0.63,0.297,0.35,0.703
"tallow tree seeds",,,0.3,1
"kapok fruit",0.37,0.2194,0.3,0.7806
"linseed",0.63,0.373,0.35,0.627
