reporter,subregion
Austria,Western Europe
Belarus,Central and Eastern Europe
Belgium,Western Europe
Bosnia Herzegovina,Central and Eastern Europe
Bulgaria,Central and Eastern Europe
Croatia,Central and Eastern Europe
Czech Rep.,Central and Eastern Europe
Denmark,Northern Europe
Finland,Northern Europe
France,Western Europe
Germany,Western Europe
Greece,Southern Europe
Hungary,Central and Eastern Europe
Ireland,Western Europe
Italy,Southern Europe
Latvia,Central and Eastern Europe
Lithuania,Central and Eastern Europe
Luxembourg,Western Europe
Montenegro,Central and Eastern Europe
Netherlands,Western Europe
Norway,Northern Europe
Poland,Central and Eastern Europe
Portugal,Southern Europe
Romania,Central and Eastern Europe
Russian Federation,Central and Eastern Europe
Serbia,Central and Eastern Europe
Slovakia,Central and Eastern Europe
Slovenia,Central and Eastern Europe
Spain,Southern Europe
Sweden,Northern Europe
Switzerland,Western Europe
Ukraine,Central and Eastern Europe
United Kingdom,Western Europe
TFYR of Macedonia,Central and Eastern Europe
Malta,Southern Europe
Iceland,Northern Europe
Estonia,Central and Eastern Europe
Rep. of Moldova,Central and Eastern Europe
Turkey,Southern Europe
