fao_country_code,fao_country_name,extraction_rate,waste_of_supply,fao_product,fao_product_code,extr_rate_country_specific
4,Afghanistan,NA,0.019,wheat,15,0
4,Afghanistan,0.85,NA,flour_wheat,16,1
4,Afghanistan,0.12,NA,bran_wheat,17,1
4,Afghanistan,NA,0.05,rice_paddy,27,0
4,Afghanistan,0.72,NA,NA,NA,1
4,Afghanistan,0.08,NA,NA,NA,1
4,Afghanistan,NA,0.05,barley,44,0
4,Afghanistan,NA,0.03,maize,56,0
4,Afghanistan,0.85,NA,flour_maize,58,1
4,Afghanistan,0.13,NA,bran_maize,59,1
4,Afghanistan,NA,0.05,millet,79,0
4,Afghanistan,0.8,NA,NA,NA,1
4,Afghanistan,0.18,NA,bran_millet,81,1
4,Afghanistan,NA,0.029,potatoes,116,0
4,Afghanistan,NA,0.03,oilseeds_nes,339,0
4,Afghanistan,0.1,NA,NA,NA,1
4,Afghanistan,0.1,NA,NA,NA,1
4,Afghanistan,0.92,NA,sugar_refined,164,1
4,Afghanistan,0.05,NA,molasses,165,1
4,Afghanistan,0.07,NA,beet_pulp,169,1
4,Afghanistan,0.25,NA,NA,NA,1
4,Afghanistan,0.5,NA,almonds_shelled,231,1
4,Afghanistan,0.5,NA,walnuts_shelled,232,1
4,Afghanistan,NA,0.02,olives,260,0
4,Afghanistan,0.12,NA,NA,NA,1
4,Afghanistan,NA,NA,sunflower_seed,267,0
4,Afghanistan,0.25,NA,oil_sunflower,268,1
4,Afghanistan,0.7,NA,cake_sunflower,269,1
4,Afghanistan,0.85,NA,NA,NA,1
4,Afghanistan,NA,0.03,sesame_seed,289,0
4,Afghanistan,0.4,NA,oil_sesame,290,1
4,Afghanistan,0.53,NA,cake_sesame_seed,291,1
4,Afghanistan,0.66,NA,cottonseed,329,1
4,Afghanistan,0.18,NA,oil_cottonseed,331,1
4,Afghanistan,0.45,NA,cake_cottonseed,332,1
4,Afghanistan,NA,0.03,linseed,333,0
4,Afghanistan,0.34,NA,oil_linseed,334,1
4,Afghanistan,0.64,NA,cake_linseed,335,1
4,Afghanistan,NA,0.1,vegetables_fresh_nes,463,0
4,Afghanistan,0.2,NA,vegetables_dehydrated,469,1
4,Afghanistan,NA,0.15,watermelons,567,0
4,Afghanistan,NA,0.15,NA,NA,0
4,Afghanistan,NA,0.05,oranges,490,0
4,Afghanistan,NA,0.05,juice_fruit_nes,622,0
4,Afghanistan,NA,0.05,apples,515,0
4,Afghanistan,NA,0.05,pears,521,0
4,Afghanistan,NA,0.03,apricots,526,0
4,Afghanistan,0.3,NA,NA,NA,1
4,Afghanistan,NA,0.05,peaches_and_nectarines,534,0
4,Afghanistan,NA,0.05,NA,NA,0
4,Afghanistan,0.25,NA,plums_dried_prunes_,537,1
4,Afghanistan,NA,0.05,NA,NA,0
4,Afghanistan,NA,0.1,hides_nes,1216,0
4,Afghanistan,NA,0.05,grapes,560,0
4,Afghanistan,0.25,NA,raisins,561,1
4,Afghanistan,NA,0.1,figs,569,0
4,Afghanistan,0.25,NA,figs_dried,570,1
4,Afghanistan,NA,0.08,fruit_fresh_nes,619,0
4,Afghanistan,0.33,NA,cotton_lint,767,1
4,Afghanistan,NA,NA,cattle,866,0
4,Afghanistan,NA,NA,sheep,976,0
4,Afghanistan,NA,NA,goats,1016,0
4,Afghanistan,NA,NA,chickens,1057,0
