primary_commodity,parent,parent_code,child,child_code,by_product
soybeans,soybeans,236,cake_soybeans,238,1
soybeans,soybeans,236,oil_soybean,237,1
soybeans,soybeans,236,soya_sauce,239,0
soybeans,soybeans,236,soya_paste,240,0
soybeans,oil_soybean,237,margarine_short,1242,0
soybeans,oil_soybean,237,margarine_liquid,1241,0
soybeans,oil_soybean,237,fat_nes_prepared,1243,0
soybeans,oil_soybean,237,oil_boiled_etc,1274,0
soybeans,oil_soybean,237,fatty_acids,1276,0
cocoa_beans,cocoa_beans,661,cocoa_paste,662,0
cocoa_beans,cocoa_paste,662,cocoa_butter,664,0
cocoa_beans,cocoa_paste,662,cocoa_powder_cake,665,0
cocoa_beans,cocoa_powder_cake,665,chocolate_products_nes,666,0
oil_palm_fruit,oil_palm_fruit,254,palm_kernels,256,0
oil_palm_fruit,oil_palm_fruit,254,oil_palm,257,0
oil_palm_fruit,palm_kernels,256,oil_palm_kernel,258,1
oil_palm_fruit,palm_kernels,256,cake_palm_kernel,259,1
oil_palm_fruit,oil_palm_kernel,258,margarine_short,1242,0
oil_palm_fruit,oil_palm_kernel,258,margarine_liquid,1241,0
oil_palm_fruit,oil_palm_kernel,258,fat_nes_prepared,1243,0
oil_palm_fruit,oil_palm_kernel,258,oil_boiled_etc,1274,0
oil_palm_fruit,oil_palm_kernel,258,fatty_acids,1276,0
oil_palm_fruit,oil_palm,257,margarine_short,1242,0
oil_palm_fruit,oil_palm,257,margarine_liquid,1241,0
oil_palm_fruit,oil_palm,257,fat_nes_prepared,1243,0
oil_palm_fruit,oil_palm,257,oil_boiled_etc,1274,0
oil_palm_fruit,oil_palm,257,fatty_acids,1276,0
cattle,cattle,866,meat_cattle,867,0
cattle,cattle,866,offals_edible_cattle,868,0
cattle,cattle,866,fat_cattle,869,0
cattle,cattle,866,hides_cattle_fresh,919,0
cattle,meat_cattle,867,meat_cattle_boneless_beef_veal_,870,1
cattle,meat_cattle,867,meat_beef_and_veal_sausages,874,0
cattle,meat_cattle,867,meat_beef_preparations,875,0
cattle,offals_edible_cattle,868,meat_dried_nes,1164,0
cattle,fat_cattle,869,fat_nes_prepared,1243,0
cattle,fat_cattle,869,oils_fats_of_animal_nes,1168,0
cattle,fat_cattle,869,tallow,1225,0
cattle,hides_cattle_fresh,919,hides_cattle_wet_salted,920,0
cattle,hides_cattle_fresh,919,skins_calve_wet_salted,928,0
coffee_green,coffee_green,656,coffee_roasted,657,0
coffee_green,coffee_green,656,coffee_husks_and_skins,660,0
coffee_green,coffee_roasted,657,coffee_substitutes_containing_coffee,658,0
coffee_green,coffee_roasted,657,coffee_extracts,659,0
