product,product_code,product_short
cartonboard,1618,
case_materials,1617,
chemical_wood_pulp,1656,
chemical_wood_pulp_sulphate_bleached,1663,
chemical_wood_pulp_sulphate_unbleached,1662,
chemical_wood_pulp_sulphite,1686,
chemical_wood_pulp_sulphite_bleached,1661,
chemical_wood_pulp_sulphite_unbleached,1660,
dissolving_wood_pulp,1667,
fibreboard,1874,
fibreboard_compressed_1961_1994,1649,
forest_products_export_import,1877,
graphic_papers,2042,
hardboard,1647,
household_and_sanitary_papers,1676,
industrial_roundwood,1865,
industrial_roundwood_coniferous,1866,ir_c
industrial_roundwood_coniferous_export_import,1651,ir_c
industrial_roundwood_non_coniferous,1867,ir_nc
industrial_roundwood_non_coniferous_non_tropical_export_import,1670,ir_nc
industrial_roundwood_non_coniferous_tropical_export_import,1657,
mdf_hdf,1648,
mechanical_and_semi_chemical_wood_pulp,1685,
mechanical_wood_pulp,1654,
newsprint,1671,
osb,1606,
other_agglomerates,1694,
other_fibreboard,1650,
other_industrial_roundwood,1871,
other_industrial_roundwood_all_species_export_import_1961_1989,1625,
other_industrial_roundwood_coniferous_production,1623,
other_industrial_roundwood_non_coniferous_production,1626,
other_paper_and_paperboard,1675,
other_paper_and_paperboard_n_e_s_not_elsewhere_specified,1683,
other_papers_mainly_for_packaging,1622,
packaging_paper_and_paperboard,2043,
paper_and_paperboard,1876,pp
paper_and_paperboard_excluding_newsprint,1860,
particle_board,1697,
particle_board_and_osb_1961_1994,1646,
plywood,1640,
printing_and_writing_papers,1674,
printing_and_writing_papers_coated,1616,
printing_and_writing_papers_uncoated_mechanical,1612,
printing_and_writing_papers_uncoated_wood_free,1615,
pulp_for_paper,1878,
pulp_from_fibres_other_than_wood,1668,
pulpwood_and_particles_1961_1997,1870,
pulpwood_and_particles_coniferous_production_1961_1997,1608,
pulpwood_and_particles_non_coniferous_production_1961_1997,1611,
pulpwood_round_and_split_all_species_export_import_1961_1989,1614,
pulpwood_round_and_split_all_species_production,2038,
pulpwood_round_and_split_coniferous_production,1602,
pulpwood_round_and_split_non_coniferous_production,1603,
recovered_fibre_pulp,1609,
recovered_paper,1669,
recovered_post_consumer_wood,1600,
roundwood,1861,
roundwood_coniferous,1862,
roundwood_non_coniferous,1863,
sawlogs_and_veneer_logs,1868,
sawlogs_and_veneer_logs_coniferous,1601,
sawlogs_and_veneer_logs_non_coniferous,1604,
sawnwood,1872,sw
sawnwood_coniferous,1632,sw_c
sawnwood_non_coniferous_all,1633,sw_nc
semi_chemical_wood_pulp,1655,
total_fibre_furnish,1879,
veneer_sheets,1634,
wood_based_panels,1873,wbp
wood_charcoal,1630,
wood_chips_and_particles,1619,
wood_chips_particles_and_residues,1695,
wood_fuel,1864,
wood_fuel_all_species_export_import_1961_2016,1629,
wood_fuel_coniferous,1627,fw_c
wood_fuel_non_coniferous,1628,fw_nc
wood_pellets,1693,
wood_pellets_and_other_agglomerates,1696,
wood_pulp,1875,wpp
wood_pulp_excluding_mechanical_wood_pulp,1859,
wood_residues,1620,
wrapping_and_packaging_paper_and_paperboard_1961_1997,1681,
wrapping_papers,1621,
