product,product_level_1,product_level_2,product_level_3,product_level_4
fibreboard,wood_based_panels,,,
industrial_roundwood_coniferous_export_import,roundwood,industrial_roundwood,,
industrial_roundwood_non_coniferous_non_tropical_export_import,roundwood,industrial_roundwood,,
industrial_roundwood_non_coniferous_tropical_export_import,roundwood,industrial_roundwood,,
newsprint,paper_and_paperboard,,,
paper_and_paperboard_excluding_newsprint,paper_and_paperboard,,,
plywood,wood_based_panels,,,
sawnwood_coniferous,sawnwood,,,
sawnwood_non_coniferous_all,sawnwood,,,
veneer_sheets,wood_based_panels,,,
wood_chips_and_particles,wood_chips_and_particles,,,
