fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,statistic_calculation
15,wheat,NA,NA,NA,NA,0
16,flour_wheat,0.7657225433526011,0.68,0.97,0.05173920975480673,1
17,bran_wheat,0.1984335260115607,0.03,0.32,0.04987172414777438,1
18,macaroni,NA,NA,NA,NA,0
27,rice_paddy,NA,NA,NA,NA,0
28,rice_husked,0.77525,0.65,0.9,0.05606715295987165,1
29,rice_milled_husked,0.8542857142857142,0.83,0.9,0.017851647506079624,1
31,rice_milled,0.6542105263157895,0.62,0.71,0.027951503532146565,1
36,oil_rice_bran,0.151875,0.08,0.21,0.028099525500145595,1
37,cake_rice_bran,0.7658823529411765,0.5,0.85,0.0788240781368082,1
38,flour_rice,0.783913043478261,0.6,0.98,0.0758500937044632,1
41,cereals_breakfast,NA,NA,NA,NA,0
44,barley,NA,NA,NA,NA,0
46,barley_pearled,0.5744827586206896,0.43,0.85,0.0891461964133937,1
51,beer_of_barley,0.224,0.1,0.35,0.046092791785109465,1
56,maize,NA,NA,NA,NA,0
57,germ_maize,0.061758620689655166,0.01,0.15,0.024135807529098125,1
58,flour_maize,0.8321935483870968,0.55,0.98,0.09676770261711662,1
59,bran_maize,0.11100671140939597,0.02,0.33,0.06451215019064398,1
60,oil_maize,0.4295652173913044,0.19,0.52,0.05137904984801708,1
61,cake_maize,0.5193478260869565,0.38,0.8,0.060051909911825206,1
71,rye,NA,NA,NA,NA,0
75,oats,NA,NA,NA,NA,0
76,oats_rolled,0.5695348837209303,0.45,0.73,0.07441689159157902,1
79,millet,NA,NA,NA,NA,0
81,bran_millet,0.09722222222222222,0.02,0.3,0.046751733333001276,1
83,sorghum,NA,NA,NA,NA,0
85,bran_sorghum,0.09592592592592591,0.02,0.22,0.045454456514746854,1
89,buckwheat,NA,NA,NA,NA,0
91,bran_buckwheat,0.13047058823529412,0.05,0.35,0.07677873480103105,1
92,quinoa,NA,NA,NA,NA,0
94,fonio,NA,NA,NA,NA,0
97,triticale,NA,NA,NA,NA,0
101,canary_seed,NA,NA,NA,NA,0
103,grain_mixed,NA,NA,NA,NA,0
104,flour_mixed_grain,0.8316666666666667,0.8,0.87,0.029268868558020227,1
111,flour_cereals,NA,NA,NA,NA,0
116,potatoes,NA,NA,NA,NA,0
117,flour_potatoes,0.21777777777777776,0.11,0.3,0.04189177287870059,1
118,potatoes_frozen,0.6950000000000001,0.33,1.0,0.1575154313428088,1
120,potato_offals,0.195625,0.015,0.4,0.11920395686944847,1
122,sweet_potatoes,NA,NA,NA,NA,0
125,cassava,NA,NA,NA,NA,0
126,flour_cassava,0.2559090909090909,0.2,0.39,0.04250031830794984,1
128,cassava_dried,0.32,0.2,0.45,0.06946221994724901,1
129,starch_cassava,0.19333333333333336,0.18,0.2,0.011547005383792528,1
149,roots_and_tubers_nes,NA,NA,NA,NA,0
157,sugar_beet,0.13140000000000002,0.091,0.17,0.022821668901037265,1
162,sugar_raw_centrifugal,NA,NA,NA,NA,0
163,sugar_non_centrifugal,0.08412000000000001,0.053,0.12,0.01869786084021378,1
164,sugar_refined,0.9214649681528664,0.85,0.98,0.011312308172290748,1
165,molasses,0.04177099236641221,0.01,0.087,0.010145529432669942,1
167,sugar_nes,NA,NA,NA,NA,0
169,beet_pulp,0.06172222222222222,0.05,0.25,0.03297151247547851,1
176,beans_dry,NA,NA,NA,NA,0
181,broad_beans_horse_beans_dry,NA,NA,NA,NA,0
187,peas_dry,NA,NA,NA,NA,0
191,chick_peas,NA,NA,NA,NA,0
201,lentils,NA,NA,NA,NA,0
205,vetches,NA,NA,NA,NA,0
212,flour_pulses,0.7484444444444445,0.2,0.85,0.10387832820519916,1
217,cashew_nuts_with_shell,NA,NA,NA,NA,0
220,chestnut,NA,NA,NA,NA,0
221,almonds_with_shell,0.3555555555555555,0.3,0.5,0.08457409637576851,1
222,walnuts_with_shell,0.4,0.35,0.5,0.06546536707079773,1
223,pistachios,NA,NA,NA,NA,0
225,hazelnuts_with_shell,0.496,0.49,0.5,0.005477225575051663,1
229,brazil_nuts_shelled,0.55,0.55,0.55,NA,1
230,cashew_nuts_shelled,0.2571428571428572,0.22,0.3,0.025634797778466233,1
231,almonds_shelled,0.23919999999999997,0.0289999999999999,0.65,0.19226327435749832,1
