fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,statistic_calculation
15,wheat,NA,NA,NA,NA,0
16,flour_wheat,0.7657225433526011,0.68,0.97,0.0517392097548067,1
17,bran_wheat,0.1984335260115607,0.03,0.32,0.0498717241477743,1
18,macaroni,NA,NA,NA,NA,0
27,rice_paddy,NA,NA,NA,NA,0
28,rice_husked,0.77525,0.65,0.9,0.0560671529598716,1
29,rice_milled_husked,0.8542857142857142,0.83,0.9,0.0178516475060796,1
31,rice_milled,0.6542105263157895,0.62,0.71,0.0279515035321465,1
36,oil_rice_bran,0.151875,0.08,0.21,0.0280995255001455,1
37,cake_rice_bran,0.7658823529411765,0.5,0.85,0.0788240781368082,1
38,flour_rice,0.783913043478261,0.6,0.98,0.0758500937044632,1
41,cereals_breakfast,NA,NA,NA,NA,0
44,barley,NA,NA,NA,NA,0
46,barley_pearled,0.5744827586206896,0.43,0.85,0.0891461964133937,1
51,beer_of_barley,0.224,0.1,0.35,0.0460927917851094,1
56,maize,NA,NA,NA,NA,0
57,germ_maize,0.0617586206896551,0.01,0.15,0.0241358075290981,1
58,flour_maize,0.8321935483870968,0.55,0.98,0.0967677026171166,1
59,bran_maize,0.1110067114093959,0.02,0.33,0.0645121501906439,1
60,oil_maize,0.4295652173913044,0.19,0.52,0.051379049848017,1
61,cake_maize,0.5193478260869565,0.38,0.8,0.0600519099118252,1
71,rye,NA,NA,NA,NA,0
75,oats,NA,NA,NA,NA,0
76,oats_rolled,0.5695348837209303,0.45,0.73,0.074416891591579,1
79,millet,NA,NA,NA,NA,0
81,bran_millet,0.0972222222222222,0.02,0.3,0.0467517333330012,1
83,sorghum,NA,NA,NA,NA,0
85,bran_sorghum,0.0959259259259259,0.02,0.22,0.0454544565147468,1
89,buckwheat,NA,NA,NA,NA,0
91,bran_buckwheat,0.1304705882352941,0.05,0.35,0.076778734801031,1
92,quinoa,NA,NA,NA,NA,0
94,fonio,NA,NA,NA,NA,0
97,triticale,NA,NA,NA,NA,0
101,canary_seed,NA,NA,NA,NA,0
