fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,extraction_rate_count,waste_of_supply_mean,waste_of_supply_min,waste_of_supply_max,waste_of_supply_std,waste_of_supply_count,extraction_rate_flag,waste_of_supply_flag
15,wheat,NA,NA,NA,NA,0,0.03620143884892087,0.0,0.16,0.030968703195724173,139,0,1
16,flour_wheat,0.7657225433526011,0.68,0.97,0.05173920975480675,173,0.024310679611650485,0.0,0.1,0.019916506665800957,103,1,1
17,bran_wheat,0.1984335260115607,0.03,0.32,0.04987172414777438,173,0.03666666666666667,0.01,0.05,0.023094010767585032,3,1,1
18,macaroni,NA,NA,NA,NA,0,0.08426984126984127,0.013000000000000001,0.25,0.04703883308200081,63,0,1
27,rice_paddy,NA,NA,NA,NA,0,0.053738317757009345,0.002,0.25,0.039796258582225554,107,0,1
28,rice_husked,0.77525,0.65,0.9,0.05606715295987165,40,0.026000000000000002,0.01,0.05,0.010637982264821964,13,1,1
29,rice_milled_husked,0.8542857142857142,0.83,0.9,0.017851647506079635,14,0.008,0.008,0.008,NA,1,1,1
31,rice_milled,0.6542105263157895,0.62,0.71,0.027951503532146565,19,0.023000000000000003,0.009000000000000001,0.05,0.015178932768808223,6,1,1
36,oil_rice_bran,0.151875,0.08,0.21,0.028099525500145602,16,NA,NA,NA,NA,0,1,0
37,cake_rice_bran,0.7658823529411765,0.5,0.85,0.07882407813680821,17,NA,NA,NA,NA,0,1,0
38,flour_rice,0.783913043478261,0.6,0.98,0.07585009370446318,46,0.02142857142857143,0.003,0.11,0.02796072598846814,14,1,1
41,cereals_breakfast,NA,NA,NA,NA,0,0.0533,0.02,0.1,0.02576841304991658,10,0,1
44,barley,NA,NA,NA,NA,0,0.0359468085106383,0.0,0.14,0.030679532254946334,94,0,1
46,barley_pearled,0.5744827586206896,0.43,0.85,0.0891461964133937,29,NA,NA,NA,NA,0,1,0
51,beer_of_barley,0.224,0.1,0.35,0.04609279178510947,45,NA,NA,NA,NA,0,1,0
56,maize,NA,NA,NA,NA,0,0.05359006211180124,0.0,0.25,0.04271379637331617,161,0,1
57,germ_maize,0.06175862068965518,0.01,0.15,0.024135807529098125,58,0.034,0.034,0.034,NA,1,1,1
58,flour_maize,0.8321935483870968,0.55,0.98,0.09676770261711656,155,0.02304166666666667,0.001,0.08,0.015662610762147054,48,1,1
59,bran_maize,0.11100671140939597,0.02,0.33,0.06451215019064398,149,0.018000000000000002,0.018000000000000002,0.018000000000000002,NA,1,1,1
60,oil_maize,0.4295652173913044,0.19,0.52,0.051379049848017076,46,0.014000000000000002,0.006,0.022000000000000002,0.011313708498984762,2,1,1
61,cake_maize,0.5193478260869565,0.38,0.8,0.060051909911825206,46,NA,NA,NA,NA,0,1,0
71,rye,NA,NA,NA,NA,0,0.0344,0.0,0.14,0.02592331348069112,45,0,1
75,oats,NA,NA,NA,NA,0,0.04675,0.001,0.61,0.07894465450286214,60,0,1
76,oats_rolled,0.5695348837209303,0.45,0.73,0.07441689159157902,43,0.01757142857142857,0.005,0.033,0.009812528434899655,7,1,1
79,millet,NA,NA,NA,NA,0,0.06999999999999999,0.01,0.25,0.04711455454527826,65,0,1
81,bran_millet,0.09722222222222222,0.02,0.3,0.04675173333300128,72,0.01,0.01,0.01,NA,1,1,1
83,sorghum,NA,NA,NA,NA,0,0.06163218390804598,0.004,0.2,0.04376021208191474,87,0,1
85,bran_sorghum,0.09592592592592591,0.02,0.22,0.04545445651474687,54,NA,NA,NA,NA,0,1,0
89,buckwheat,NA,NA,NA,NA,0,0.034923076923076925,0.02,0.1,0.021484341346127492,13,0,1
91,bran_buckwheat,0.13047058823529412,0.05,0.35,0.07677873480103108,51,NA,NA,NA,NA,0,1,0
92,quinoa,NA,NA,NA,NA,0,0.06999999999999999,0.02,0.1,0.04358898943540673,3,0,1
94,fonio,NA,NA,NA,NA,0,0.10125,0.05,0.19,0.0467325215607779,8,0,1
97,triticale,NA,NA,NA,NA,0,0.021799999999999996,0.0,0.040999999999999995,0.01392679272322079,10,0,1
101,canary_seed,NA,NA,NA,NA,0,0.037,0.011000000000000001,0.1,0.03187475490101845,6,0,1
103,grain_mixed,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
104,flour_mixed_grain,0.8316666666666667,0.8,0.87,0.029268868558020227,6,NA,NA,NA,NA,0,1,0
111,flour_cereals,NA,NA,NA,NA,0,0.0275,0.02,0.03,0.004999999999999998,4,0,1
116,potatoes,NA,NA,NA,NA,0,0.07456470588235294,0.002,0.25,0.041990967487123936,170,0,1
117,flour_potatoes,0.21777777777777776,0.11,0.3,0.0418917728787006,36,0.04,0.01,0.1,0.03674234614174767,5,1,1
118,potatoes_frozen,0.6950000000000001,0.33,1.0,0.15751543134280874,28,NA,NA,NA,NA,0,1,0
120,potato_offals,0.195625,0.015,0.4,0.11920395686944847,16,NA,NA,NA,NA,0,1,0
122,sweet_potatoes,NA,NA,NA,NA,0,0.09582758620689655,0.003,0.42,0.06100251746550392,87,0,1
125,cassava,NA,NA,NA,NA,0,0.10661764705882353,0.011000000000000001,0.54,0.09042272687040323,68,0,1
126,flour_cassava,0.2559090909090909,0.2,0.39,0.04250031830794984,22,0.05866666666666667,0.02,0.1,0.034215006454283575,6,1,1
128,cassava_dried,0.32,0.2,0.45,0.06946221994724901,33,0.09000000000000001,0.03,0.14,0.05567764362830022,3,1,1
129,starch_cassava,0.19333333333333336,0.18,0.2,0.011547005383792528,3,NA,NA,NA,NA,0,1,0
149,roots_and_tubers_nes,NA,NA,NA,NA,0,0.08812500000000001,0.02,0.21,0.05497433418746279,32,0,1
157,sugar_beet,0.13140000000000002,0.091,0.17,0.022821668901037265,15,NA,NA,NA,NA,0,1,0
162,sugar_raw_centrifugal,NA,NA,NA,NA,0,0.0155,0.011000000000000001,0.02,0.006363961030678928,2,0,1
163,sugar_non_centrifugal,0.08412000000000001,0.053,0.12,0.01869786084021378,25,0.026,0.005,0.053,0.024556058315617347,3,1,1
164,sugar_refined,0.9214649681528664,0.85,0.98,0.011312308172290784,157,0.03176923076923077,0.001,0.1,0.03431266492651037,13,1,1
165,molasses,0.04177099236641222,0.01,0.087,0.01014552943266994,131,0.0365,0.01,0.1,0.03506422678457348,6,1,1
167,sugar_nes,NA,NA,NA,NA,0,0.06185185185185186,0.008,0.24,0.053991241243873354,27,0,1
169,beet_pulp,0.06172222222222222,0.05,0.25,0.03297151247547851,36,NA,NA,NA,NA,0,1,0
176,beans_dry,NA,NA,NA,NA,0,0.05558490566037736,0.0,0.3,0.05004091048704017,106,0,1
181,broad_beans_horse_beans_dry,NA,NA,NA,NA,0,0.06988888888888889,0.01,0.14,0.03209041713338847,27,0,1
187,peas_dry,NA,NA,NA,NA,0,0.0406,0.004,0.13,0.02398873609549822,75,0,1
191,chick_peas,NA,NA,NA,NA,0,0.042145833333333334,0.01,0.25,0.0374438527655619,48,0,1
201,lentils,NA,NA,NA,NA,0,0.033692307692307695,0.01,0.075,0.016246312959136734,52,0,1
205,vetches,NA,NA,NA,NA,0,0.03580769230769231,0.013000000000000001,0.055999999999999994,0.013988621749891532,26,0,1
212,flour_pulses,0.7484444444444445,0.2,0.85,0.10387832820519916,45,NA,NA,NA,NA,0,1,0
217,cashew_nuts_with_shell,NA,NA,NA,NA,0,0.04078571428571429,0.01,0.11,0.025444293818302127,14,0,1
220,chestnut,NA,NA,NA,NA,0,0.05444444444444444,0.01,0.2,0.0406999653499506,27,0,1
221,almonds_with_shell,0.3555555555555555,0.3,0.5,0.08457409637576851,9,NA,NA,NA,NA,0,1,0
222,walnuts_with_shell,0.4,0.35,0.5,0.06546536707079773,8,NA,NA,NA,NA,0,1,0
223,pistachios,NA,NA,NA,NA,0,0.039125,0.005,0.051,0.01598697386415995,16,0,1
225,hazelnuts_with_shell,0.496,0.49,0.5,0.005477225575051663,5,NA,NA,NA,NA,0,1,0
229,brazil_nuts_shelled,0.55,0.55,0.55,NA,1,0.04683333333333334,0.03,0.051,0.008256310717667225,6,1,1
230,cashew_nuts_shelled,0.2571428571428572,0.22,0.3,0.025634797778466233,7,NA,NA,NA,NA,0,1,0
231,almonds_shelled,0.23919999999999997,0.028999999999999998,0.65,0.19226327435749832,25,NA,NA,NA,NA,0,1,0
232,walnuts_shelled,0.4442857142857143,0.35,0.7,0.09403062395708242,14,NA,NA,NA,NA,0,1,0
233,hazelnuts_shelled,0.47500000000000003,0.4,0.5,0.04522670168666454,12,NA,NA,NA,NA,0,1,0
234,nuts_nes,NA,NA,NA,NA,0,0.055125,0.015,0.1,0.0302392247633056,8,0,1
235,nuts_prepared_exc_groundnuts_,0.975,0.8,1.0,0.05316095330711949,24,NA,NA,NA,NA,0,1,0
236,soybeans,NA,NA,NA,NA,0,0.034372549019607845,0.0,0.19,0.029485563100821885,51,0,1
237,oil_soybean,0.17452380952380953,0.15,0.2,0.009619854206339795,84,0.013000000000000001,0.006,0.02,0.009899494936611665,2,1,1
238,cake_soybeans,0.7805952380952382,0.6,0.82,0.031059646871753874,84,NA,NA,NA,NA,0,1,0
239,soya_sauce,5.617142857142857,1.5,18.82,5.917155043559684,7,0.003,0.003,0.003,NA,1,1,1
240,soya_paste,4.045,3.6,4.49,0.6293250352560272,2,0.003,0.003,0.003,NA,1,1,1
241,soy_curd,2.0,2.0,2.0,NA,1,NA,NA,NA,NA,0,1,0
243,groundnuts_shelled,0.6941414141414142,0.5,0.8,0.03907110475212119,99,0.03363636363636364,0.01,0.11,0.030090771765684997,11,1,1
244,oil_groundnut,0.4331395348837209,0.3,0.52,0.039205690700592606,86,0.006,0.006,0.006,NA,1,1,1
245,cake_groundnuts,0.5293181818181818,0.35,0.68,0.047070391272935615,88,NA,NA,NA,NA,0,1,0
246,groundnuts_prepared,1.0,1.0,1.0,0.0,3,NA,NA,NA,NA,0,1,0
247,peanut_butter,0.9485714285714285,0.9,1.0,0.029113897843110036,7,NA,NA,NA,NA,0,1,0
249,coconuts,0.065,0.03,0.1,0.04949747468305833,2,0.08268750000000001,0.005,0.5,0.08417842151606414,48,1,1
250,coconuts_desiccated,0.19714285714285712,0.15,0.3,0.04462296260008731,14,0.0436,0.03,0.057999999999999996,0.01283744522870497,5,1,1
251,copra,0.18612244897959185,0.12,0.33,0.03941321301980108,49,0.0135,0.01,0.02,0.004725815626252609,4,1,1
252,oil_coconut_copra_,0.6196428571428572,0.55,0.65,0.025163486606610354,28,NA,NA,NA,NA,0,1,0
253,cake_copra,0.3410714285714285,0.28,0.4,0.024394790839558766,28,NA,NA,NA,NA,0,1,0
254,oil_palm_fruit,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
256,palm_kernels,0.06585714285714286,0.035,0.13,0.028292040584580683,14,0.0205,0.001,0.03,0.013674794331177343,4,1,1
257,oil_palm,0.1662857142857143,0.022000000000000002,0.3,0.06606659083899447,42,0.0195,0.006,0.03,0.009954898291795853,6,1,1
258,oil_palm_kernel,0.4554385964912281,0.3,0.62,0.042133723151015455,57,0.0105,0.01,0.011000000000000001,0.0007071067811865482,2,1,1
259,cake_palm_kernel,0.4985714285714286,0.34,0.58,0.050431900850321176,56,NA,NA,NA,NA,0,1,0
260,olives,NA,NA,NA,NA,0,0.06607142857142857,0.0,0.12,0.03893676191687528,14,0,1
261,oil_olive_virgin,0.1823076923076923,0.14,0.24,0.03086363722188464,13,NA,NA,NA,NA,0,1,0
