"regulation_code","regulation_name","regulation_short_name","comtrade_primary_code","commodity_short_name","hs_4d_code","hs_4d_name","hs_6d_code","hs_6d_name","fao_code","fao_name","bp","fao_parent_code","fao_primary_code","in_mapping_table","match"
"0102","Live cattle","Live cattle","0102","Cattle","0102","Bovine animals; live","010221","Cattle; live, pure-bred breeding animals","866","Cattle","0","866","866","1","partial"
"0102","Live cattle","Live cattle","0102","Cattle","0102","Bovine animals; live","010229","Cattle; live, other than pure-bred breeding animals","866","Cattle","0","866","866","1","partial"
"0201","Meat of cattle, fresh or chilled","Fresh meat of cattle","0102","Cattle","0201","Meat of bovine animals; fresh or chilled","020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","867","Meat of cattle with the bone; fresh or chilled","0","866","866","1","partial"
"0201","Meat of cattle, fresh or chilled","Fresh meat of cattle","0102","Cattle","0201","Meat of bovine animals; fresh or chilled","020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","867","Meat of cattle with the bone; fresh or chilled","0","866","866","1","partial"
"0201","Meat of cattle, fresh or chilled","Fresh meat of cattle","0102","Cattle","0201","Meat of bovine animals; fresh or chilled","020130","Meat; of bovine animals, boneless cuts, fresh or chilled","870","Meat of cattle boneless; fresh or chilled","1","867","866","1","partial"
"0202","Meat of cattle, frozen","Frozen meat of cattle","0102","Cattle","0202","Meat of bovine animals; frozen","020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","867","Meat of cattle with the bone; fresh or chilled","0","866","866","1","partial"
"0202","Meat of cattle, frozen","Frozen meat of cattle","0102","Cattle","0202","Meat of bovine animals; frozen","020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","867","Meat of cattle with the bone; fresh or chilled","0","866","866","1","partial"
"0202","Meat of cattle, frozen","Frozen meat of cattle","0102","Cattle","0202","Meat of bovine animals; frozen","020230","Meat; of bovine animals, boneless cuts, frozen","870","Meat of cattle boneless; fresh or chilled","1","867","866","1","partial"
"020610","Edible offal of cattle, fresh or chilled","Fresh edible offal of cattle","0102","Cattle","0206","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","020610","Offal, edible; of bovine animals, fresh or chilled","868","Edible offal of cattle; fresh; chilled or frozen","0","866","866","1","partial"
"020622","Edible cattle livers, frozen","Frozen edible cattle livers","0102","Cattle","0206","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","020622","Offal, edible; of bovine animals, livers, frozen","868","Edible offal of cattle; fresh; chilled or frozen","0","866","866","1","partial"
