comtrade_code,faostat_code
10110,1096
10110,1107
10190,1096
10190,1107
10190,1110
10190,1096
10190,1107
10190,1110
10210,866
10210,946
10290,946
10290,866
10290,866
10290,946
10391,1034
10391,1034
10392,1034
10392,1034
10512,1079
10512,1079
10519,1057
10519,1068
10519,1072
10599,1057
10599,1068
10599,1072
10599,1079
10611,1171
10611,1169
10612,1169
10612,1171
10612,1169
10612,1171
10619,1171
10619,1169
10619,1157
10619,1140
10619,1126
10619,1150
10619,1169
10619,1126
10619,1140
10619,1171
10619,1157
10619,1150
10620,1169
10620,1171
10631,1083
10631,1083
10632,1083
10632,1083
10639,1083
10639,1171
10639,1083
10639,1171
10690,1171
10690,1181
10690,1171
10690,1181
20110,867
20110,947
20120,947
20120,867
20130,947
20130,870
20210,867
20210,947
20220,867
20220,947
20230,870
20230,947
20319,1035
20319,1038
20329,1035
20329,1038
20500,1111
20500,1097
20500,1108
20610,868
20610,948
20621,868
20621,948
20622,868
20622,948
20629,868
20629,948
20680,978
20680,1018
20680,1098
20680,1167
20690,978
20690,1018
20690,1098
20690,1167
20711,1058
20711,1058
20712,1058
20712,1058
20713,1058
20713,1059
20713,1058
20713,1059
20714,1058
20714,1059
20714,1058
20714,1059
20724,1080
20724,1080
20725,1080
20725,1080
20726,1080
20726,1081
20726,1080
20726,1081
20727,1080
20727,1081
20727,1080
20727,1081
20732,1073
20732,1069
20732,1058
20733,1058
20733,1069
20733,1073
20734,1074
20734,1075
20735,1074
20735,1073
20735,1075
20735,1059
20735,1058
20735,1069
20736,1058
20736,1059
20736,1069
20736,1073
20736,1074
20736,1075
20810,1141
20810,1167
20830,1166
20830,1167
20840,1167
20840,1166
20840,1166
20840,1167
20850,1166
20850,1167
20890,1166
20890,1167
20890,1158
20890,1163
20890,1128
20890,1127
20890,1089
20890,1151
20900,1037
20900,1040
20900,1065
21011,1039
21011,1039
21012,1039
21012,1039
21019,1039
21019,1039
21020,872
21020,872
21091,1164
21091,1164
21092,1164
21092,1164
21093,1164
21093,1164
21099,1164
21099,1164
30760,1176
30760,1176
40110,1023
40110,985
40110,954
40110,908
40110,883
40110,888
40110,985
40110,954
40110,908
40110,888
40110,883
40110,1023
40120,885
40120,888
40120,908
40120,951
40120,954
40120,1020
40120,985
40120,1023
40120,1130
40120,883
40120,982
40120,882
40120,885
40120,1023
40120,1020
40120,985
40120,982
40120,954
40120,951
40120,908
40120,888
40120,883
40120,882
40120,1130
40130,1020
40130,1130
40130,982
40130,882
40130,885
40130,883
40130,951
40291,894
40291,895
40299,896
40299,889
40310,891
40310,892
40390,893
40390,899
40410,890
40410,900
40410,903
40510,983
40510,1022
40510,886
40510,952
40520,886
40520,952
40520,983
40520,1022
40590,887
40590,953
40590,983
40590,1022
40610,1021
40610,984
40610,955
40610,904
40610,901
40610,905
40620,901
40620,904
40620,955
40620,984
40620,1021
40630,1021
40630,984
40630,955
40630,907
40630,904
40630,901
40640,901
40640,904
40640,955
40640,984
40640,1021
40690,1021
40690,984
40690,955
40690,907
40690,904
40690,901
40700,1062
40700,1067
40700,1091
40700,1092
50400,868
50400,948
50400,978
50400,1018
50400,1036
50400,1293
50800,1293
50800,1293
51191,1293
51191,1293
60319,1293
60319,1293
60390,1293
60390,1293
70310,403
70310,402
70820,414
70820,423
70930,399
70930,399
70960,401
70960,401
70990,446
70990,463
70990,430
70990,260
70990,378
70990,394
70990,366
71080,473
71080,473
71331,176
71331,176
71332,176
71332,176
71333,176
71333,176
71339,176
71339,195
71339,203
71339,176
71339,195
71339,203
71350,181
71350,181
71390,197
71390,211
71410,125
71410,128
71490,151
71490,149
71490,137
71490,136
71490,135
71490,149
71490,151
71490,137
71490,136
71490,135
80111,250
80111,250
80119,249
80119,249
80121,216
80121,216
80122,229
80122,229
80131,217
80131,217
80132,230
80132,230
80290,224
80290,226
80290,234
80300,486
80300,489
80300,604
80420,569
80420,570
80430,574
80430,604
80440,572
80440,604
80450,571
80450,603
80450,604
80540,507
80540,507
80719,568
80719,568
80820,521
80820,523
80920,530
80920,531
80930,534
80930,534
81020,547
81020,558
81020,547
81020,558
81040,558
81040,552
81040,554
81050,592
81050,592
81090,603
81090,619
81090,587
81090,591
81090,549
81090,542
81090,541
81090,550
81190,235
81190,623
81290,235
81290,623
81340,604
81340,620
81350,604
81350,620
81350,604
81350,620
90190,658
90190,660
100510,68
100510,67
100590,67
100590,68
100890,108
110290,48
110290,98
110290,95
110290,90
110290,84
110290,80
110290,48
110290,98
110290,95
110290,90
110290,84
110290,80
110319,98
110319,80
110319,95
110319,72
110319,84
110319,90
110319,48
110320,98
110320,95
110320,90
110320,84
110320,80
110320,72
110320,48
110429,45
110429,45
110430,19
120799,336
120799,312
120799,305
120799,299
120799,310
120799,277
120799,275
120799,265
120799,254
120799,280
120910,1294
120910,1294
120921,1294
120921,1294
120922,1294
120922,1294
120923,1294
120923,1294
120924,1294
120924,1294
120925,1294
120925,1294
120929,1294
120929,1294
120930,1294
120930,1294
120991,1294
120991,1294
120999,256
120999,1294
120999,256
120999,1294
121190,756
121190,674
121190,756
121190,674
121299,459
121299,459
121299,156
121299,461
121299,156
121299,461
121490,647
121490,649
121490,645
121490,857
121490,655
121490,644
121490,648
121490,642
121490,641
121490,640
121490,643
121490,639
121490,638
121490,637
