original,match,score,product,product_code
wheat,wheat,100,wheat,15
flour_of_wheat,flour_wheat,88,flour_wheat,16
bran_of_wheat,bran_wheat,87,bran_wheat,17
rice_paddy,rice_paddy,100,rice_paddy,27
barley,barley,100,barley,44
maize,maize,100,maize,56
flour_of_maize,flour_maize,88,flour_maize,58
bran_of_maize,bran_maize,87,bran_maize,59
millet,millet,100,millet,79
bran_of_millet,bran_millet,88,bran_millet,81
potatoes,potatoes,100,potatoes,116
pulses_nes,oilseeds_nes,73,oilseeds_nes,339
sugar_refined,sugar_refined,100,sugar_refined,164
molasses,molasses,100,molasses,165
beet_pulp_dry,beet_pulp,82,beet_pulp,169
almonds_shelled,almonds_shelled,100,almonds_shelled,231
walnuts_shelled,walnuts_shelled,100,walnuts_shelled,232
olives,olives,100,olives,260
sunflower_seed,sunflower_seed,100,sunflower_seed,267
oil_of_sunflower_seed,oil_sunflower,76,oil_sunflower,268
cake_of_sunflower_seed,cake_sunflower,78,cake_sunflower,269
sesame_seed,sesame_seed,100,sesame_seed,289
oil_of_sesame_seed,oil_sesame,71,oil_sesame,290
cake_of_sesame_seed,cake_sesame_seed,91,cake_sesame_seed,291
cottonseed,cottonseed,100,cottonseed,329
oil_of_cotton_seed,oil_cottonseed,88,oil_cottonseed,331
cake_of_cotton_seed,cake_cottonseed,88,cake_cottonseed,332
linseed,linseed,100,linseed,333
oil_of_linseed,oil_linseed,88,oil_linseed,334
cake_of_linseed,cake_linseed,89,cake_linseed,335
vegetables_fresh_nes,vegetables_fresh_nes,100,vegetables_fresh_nes,463
vegetables_dehydrated,vegetables_dehydrated,100,vegetables_dehydrated,469
watermelons,watermelons,100,watermelons,567
oranges,oranges,100,oranges,490
citrus_fruit_nes,juice_fruit_nes,71,juice_fruit_nes,622
apples,apples,100,apples,515
pears,pears,100,pears,521
apricots,apricots,100,apricots,526
peaches_and_nectarines,peaches_and_nectarines,100,peaches_and_nectarines,534
plums_dried_prunes_,plums_dried_prunes_,100,plums_dried_prunes_,537
berries_nes,hides_nes,70,hides_nes,1216
grapes,grapes,100,grapes,560
raisins,raisins,100,raisins,561
figs,figs,100,figs,569
figs_dried,figs_dried,100,figs_dried,570
fruit_fresh_nes,fruit_fresh_nes,100,fruit_fresh_nes,619
cotton_lint,cotton_lint,100,cotton_lint,767
cattle,cattle,100,cattle,866
sheep,sheep,100,sheep,976
goats,goats,100,goats,1016
chickens,chickens,100,chickens,1057
camels,camels,100,camels,1126
offals_of_sheep_edible,offals_sheep_edible,93,offals_sheep_edible,978
fat_of_cattle,fat_cattle,87,fat_cattle,869
fat_of_sheep,meat_sheep,73,meat_sheep,977
fat_of_camels,fat_camels,87,fat_camels,1129
cow_milk_whole_fresh,milk_whole_fresh_cow,80,milk_whole_fresh_cow,882
butter_of_cow_milk,butter_cow_milk,91,butter_cow_milk,886
cheese_of_sheep_milk,cheese_sheep_milk,92,cheese_sheep_milk,984
wool_greasy,wool_greasy,100,wool_greasy,987
blé,blé,100,wheat,15
farine_de_blé,farine_de_blé,100,flour_wheat,16
son_de_blé,son_de_blé,100,bran_wheat,17
riz_paddy,riz_paddy,100,rice_paddy,27
son_de_riz,son_de_sarrasin,72,bran_buckwheat,91
orge,orge,100,barley,44
maïs,maïs,100,maize,56
farine_de_maïs,farine_de_maïs,100,flour_maize,58
son_de_maïs,son_de_maïs,100,bran_maize,59
seigle,seigle,100,rye,71
avoine,avoine,100,oats,75
sorgho,sorgho,100,sorghum,83
pommes_de_terre,pommes_de_terre,100,potatoes,116
haricots_secs,haricots_secs,100,beans_dry,176
vesces,vesces,100,vetches,205
sucre_betterave_brut_,sucre_betterave,83,sugar_beet,157
sucre_raffiné,sucre_raffiné,100,sugar_refined,164
