original,match,score,product,product_code
sunflower_seed,sunflower_seed,100.0,sunflower_seed,267.0
oil_of_sunflower_seed,oil_sunflower,76.0,oil_sunflower,268.0
cake_of_sunflower_seed,cake_sunflower,78.0,cake_sunflower,269.0
cattle,NA,NA,meat_cattle,867.0
offals_of_cattle_edible,NA,NA,offals_edible_cattle,868.0
fat_of_cattle,fat_cattle,87.0,fat_cattle,869.0
cattle_hides_fresh,NA,NA,hides_cattle_fresh,919.0
huile_de_soja,huile_de_soja,100.0,oil_soybean,237.0
tourteaux_de_soja,tourteaux_de_soja,100.0,cake_soybeans,238.0
graines_de_tournesol,graines_de_tournesol,100.0,sunflower_seed,267.0
huile_de_tournesol,huile_de_tournesol,100.0,oil_sunflower,268.0
tourteaux_de_tournesol,tourteaux_de_tournesol,100.0,cake_sunflower,269.0
café_torréfié,café_torréfié,100.0,coffee_roasted,657.0
bovins,NA,NA,meat_cattle,867.0
abats_comestibles_bovins,abats_comestibles_bovins,100.0,offals_edible_cattle,868.0
graisse_de_bovins,graisses_de_bovins,97.0,fat_cattle,869.0
huile_de_colza,huile_de_colza,100.0,oil_rapeseed,271.0
tourteaux_de_colza,tourteaux_de_colza,100.0,cake_rapeseed,272.0
cocoa_beans,cocoa_beans,100.0,cocoa_beans,661.0
huile_de_palme,huile_de_palme,100.0,oil_palm,257.0
huile_de_palmiste,huile_de_palmiste,100.0,oil_palm_kernel,258.0
tourteaux_de_palmiste,tourteaux_de_palmiste,100.0,cake_palm_kernel,259.0
soja,soja,100.0,soybeans,236.0
aceite_de_soja,aceite_soja,88.0,oil_soybean,237.0
tortas_de_soja,torta_de_soja,96.0,cake_soybeans,238.0
semilla_de_girasol,semilla_de_girasol,100.0,sunflower_seed,267.0
aceite_de_girasol,aceite_girasol,90.0,oil_sunflower,268.0
tortas_de_girasol,torta_de_girasol,97.0,cake_sunflower,269.0
aceite_de_colza,aceite_colza,89.0,oil_rapeseed,271.0
tortas_de_colza,torta_de_colza,97.0,cake_rapeseed,272.0
ganado_vacuno,NA,NA,meat_cattle,867.0
despojos_comest_vacunos,despojos_comestibles_vacuno,88.0,offals_edible_cattle,868.0
grasas_de_vacunos,grasa_de_ganado_vacuno,77.0,fat_cattle,869.0
soybeans,soybeans,100.0,soybeans,236.0
oil_of_soya_beans,oil_soybean,79.0,oil_soybean,237.0
cake_of_soya_beans,cake_soybeans,84.0,cake_soybeans,238.0
rapeseed,rapeseed,100.0,rapeseed,270.0
oil_of_rapeseed,oil_rapeseed,89.0,oil_rapeseed,271.0
cake_of_rapeseed,cake_rapeseed,90.0,cake_rapeseed,272.0
coffee_subst_cont_coffee,coffee_substitutes_containing_coffee,80.0,coffee_substitutes_containing_coffee,658.0
coffee_extracts,coffee_extracts,100.0,coffee_extracts,659.0
cocoa_paste,cocoa_paste,100.0,cocoa_paste,662.0
cocoa_husks_shell,NA,NA,cocoa_husks_shell,663.0
cocoa_butter,cocoa_butter,100.0,cocoa_butter,664.0
cocoa_powder_and_cake,cocoa_powder_cake,89.0,cocoa_powder_cake,665.0
coffee_roasted,coffee_roasted,100.0,coffee_roasted,657.0
café_verde,café_verde,100.0,coffee_green,656.0
café_tostado,café_tostado,100.0,coffee_roasted,657.0
palm_kernels,NA,NA,palm_kernels,256.0
oil_of_palm,oil_palm,84.0,oil_palm,257.0
oil_of_palm_kernels,oil_palm_kernel,88.0,oil_palm_kernel,258.0
cake_of_palm_kernels,cake_palm_kernel,89.0,cake_palm_kernel,259.0
café_vert,café_vert,100.0,coffee_green,656.0
soya_sauce,soya_sauce,100.0,soya_sauce,239.0
aceite_de_palma,aceite_palma,89.0,oil_palm,257.0
aceite_de_almendras_palm,aceite_almendra_de_palma,83.0,oil_palm_kernel,258.0
tortas_de_almendras_palm,torta_de_almendra_de_palma,88.0,cake_palm_kernel,259.0
cacao_en_grano,cacao_en_grano,100.0,cocoa_beans,661.0
coffee_green,coffee_green,100.0,coffee_green,656.0
soya_paste,soya_paste,100.0,soya_paste,240.0
soya_curd,NA,NA,soy_curd,241.0
NA,NA,NA,oil_palm_fruit,254.0
NA,NA,NA,meat_cattle_boneless_beef_veal,870.0
NA,NA,NA,hides_cattle_wet_salted,920.0
NA,NA,NA,coffee_husks_and_skins,660.0
NA,NA,NA,cattle_butcher_fat,871.0
NA,NA,NA,hides_nes_cattle,922.0
NA,NA,NA,cattle,866.0
