M49_code,Region,Country_name,Item_description,Birth_rate_%,Take_off_rate_%,Average_live_weight_KG_GR/AN,Average_carcass_weight_KG_GR/AN,Carcass_weight_as_%_of_live_weight,Yield_per_animal_KG,Offals_content_of_live_weight_%,Fats_content_of_live_weight_%,Average_fresh_weight_per_piece_KG_orGR,Hides_content_of_live_weight_%
4,Asia,Afghanistan,Cattle,NA,35.0,230.0,122.0,53.0,NA,NA,NA,NA,NA
4,Asia,Afghanistan,Sheep,NA,50.0,32.0,15.0,48.0,NA,NA,NA,NA,NA
4,Asia,Afghanistan,Goats,NA,63.0,33.0,16.0,49.0,NA,NA,NA,NA,NA
4,Asia,Afghanistan,Chickens,NA,236.0,1080.0,800.0,74.0,NA,NA,NA,NA,NA
4,Asia,Afghanistan,Camels,NA,NA,360.0,180.0,50.0,NA,NA,NA,NA,NA
4,Asia,Afghanistan,"Offals of Cattle, Edible",NA,NA,NA,NA,NA,21.0,9.3,NA,NA,NA
4,Asia,Afghanistan,"Offals of Sheep, Edible",NA,NA,NA,NA,NA,3.2,9.8,NA,NA,NA
4,Asia,Afghanistan,"Offals of Goats, Edible",NA,NA,NA,NA,NA,3.2,9.5,NA,NA,NA
4,Asia,Afghanistan,"Offals of Camel, Edible",NA,NA,NA,NA,NA,27.0,7.5,NA,NA,NA
4,Asia,Afghanistan,Fat of Cattle,NA,NA,NA,NA,NA,3.1,NA,1.3,NA,NA
4,Asia,Afghanistan,Fat of Sheep,NA,NA,NA,NA,NA,0.9,NA,2.7,NA,NA
4,Asia,Afghanistan,Fat of Goats,NA,NA,NA,NA,NA,0.6,NA,1.8,NA,NA
4,Asia,Afghanistan,Fat of Camels,NA,NA,NA,NA,NA,12.0,NA,3.5,NA,NA
4,Asia,Afghanistan,"Cattle Hides, Fresh",NA,NA,NA,NA,NA,NA,NA,NA,20.0,8.7
4,Asia,Afghanistan,"Sheepskins, Fresh",NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.6
4,Asia,Afghanistan,"Goatskins, Fresh",NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.4
4,Asia,Afghanistan,"Camel Hides, Fresh",NA,NA,NA,NA,NA,NA,NA,NA,30.0,8.3
8,Europe,Albania,Bovins,NA,35.0,196.0,105.0,53.0,NA,NA,NA,NA,NA
8,Europe,Albania,Ovins,NA,63.0,17.0,8.5,48.0,NA,NA,NA,NA,NA
8,Europe,Albania,Caprins,NA,45.0,24.0,9.2,38.0,NA,NA,NA,NA,NA
8,Europe,Albania,Porcins,NA,262.0,57.0,45.0,78.0,NA,NA,NA,NA,NA
8,Europe,Albania,Poules,NA,217.0,809.0,608.0,75.0,NA,NA,NA,NA,NA
8,Europe,Albania,"Abats Comestibles,Bovins",NA,NA,NA,NA,NA,13.0,6.6,NA,NA,NA
8,Europe,Albania,Abats Comestibles Ovins,NA,NA,NA,NA,NA,2.8,15.0,NA,NA,NA
8,Europe,Albania,Abats Comestib de Chèvre,NA,NA,NA,NA,NA,3.0,12.0,NA,NA,NA
8,Europe,Albania,Abats Comestibl. de Porc,NA,NA,NA,NA,NA,3.0,5.2,NA,NA,NA
8,Europe,Albania,Graisse de Bovins,NA,NA,NA,NA,NA,4.5,NA,2.3,NA,NA
8,Europe,Albania,Graisse d'Ovins,NA,NA,NA,NA,NA,0.5,NA,2.8,NA,NA
8,Europe,Albania,Graisse de Caprins,NA,NA,NA,NA,NA,0.3,NA,1.4,NA,NA
8,Europe,Albania,Graisse de Porc,NA,NA,NA,NA,NA,3.0,NA,5.2,NA,NA
8,Europe,Albania,Peaux Fraîches de Bovins,NA,NA,NA,NA,NA,NA,NA,NA,22.0,11.0
8,Europe,Albania,Peaux Fraîches d'Ovins,NA,NA,NA,NA,NA,NA,NA,NA,2.5,14.0
8,Europe,Albania,Peaux Fraîches Caprins,NA,NA,NA,NA,NA,NA,NA,NA,2.2,9.0
12,Africa,Algeria,Bovins,NA,45.0,319.0,166.0,52.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Ovins,NA,58.0,32.0,16.0,49.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Caprins,NA,32.0,20.0,10.0,50.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Porcins,NA,55.0,60.0,40.0,66.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Poules,NA,230.0,1300.0,1000.0,76.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Dindons,NA,101.0,6700.0,5000.0,74.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Lapins,NA,500.0,1600.0,1000.0,62.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Chevaux,NA,NA,259.0,129.0,50.0,NA,NA,NA,NA,NA
12,Africa,Algeria,Chameaux,NA,NA,459.0,173.0,37.0,NA,NA,NA,NA,NA
12,Africa,Algeria,"Abats Comestibles,Bovins",NA,NA,NA,NA,NA,25.0,7.8,NA,NA,NA
12,Africa,Algeria,Abats Comestibles Ovins,NA,NA,NA,NA,NA,2.0,6.2,NA,NA,NA
12,Africa,Algeria,Abats Comestib de Chèvre,NA,NA,NA,NA,NA,2.0,10.0,NA,NA,NA
12,Africa,Algeria,Abats Comestibl. de Porc,NA,NA,NA,NA,NA,4.0,6.7,NA,NA,NA
12,Africa,Algeria,Abats Comestibl Chameau,NA,NA,NA,NA,NA,25.0,5.4,NA,NA,NA
12,Africa,Algeria,Graisse de Bovins,NA,NA,NA,NA,NA,3.3,NA,1.0,NA,NA
12,Africa,Algeria,Graisse d'Ovins,NA,NA,NA,NA,NA,0.4,NA,1.2,NA,NA
12,Africa,Algeria,Graisse de Caprins,NA,NA,NA,NA,NA,0.3,NA,1.5,NA,NA
12,Africa,Algeria,Graisse de Porc,NA,NA,NA,NA,NA,8.0,NA,13.0,NA,NA
12,Africa,Algeria,Graisse de Chameau,NA,NA,NA,NA,NA,5.0,NA,1.1,NA,NA
12,Africa,Algeria,Peaux Fraîches de Bovins,NA,NA,NA,NA,NA,NA,NA,NA,20.0,6.3
12,Africa,Algeria,Peaux Fraîches d'Ovins,NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.7
12,Africa,Algeria,Peaux Fraîches Caprins,NA,NA,NA,NA,NA,NA,NA,NA,2.0,10.0
12,Africa,Algeria,Peaux Fraîches de Cheval,NA,NA,NA,NA,NA,NA,NA,NA,18.0,6.9
12,Africa,Algeria,Peaux Fraîches Chameau,NA,NA,NA,NA,NA,NA,NA,NA,30.0,6.5
12,Africa,Algeria,Peaux de Lapin,NA,NA,NA,NA,NA,NA,NA,NA,400.0,25.0
16,Ocenia,American Samoa,Cattle,NA,20.0,300.0,150.0,50.0,NA,NA,NA,NA,NA
16,Ocenia,American Samoa,Pigs,NA,58.0,75.0,50.0,66.0,NA,NA,NA,NA,NA
16,Ocenia,American Samoa,Chickens,NA,83.0,1100.0,800.0,72.0,NA,NA,NA,NA,NA
16,Ocenia,American Samoa,"Offals of Cattle, Edible",NA,NA,NA,NA,NA,25.0,8.3,NA,NA,NA
16,Ocenia,American Samoa,"Offals of Pigs, Edible",NA,NA,NA,NA,NA,3.0,4.0,NA,NA,NA
16,Ocenia,American Samoa,Fat of Cattle,NA,NA,NA,NA,NA,5.0,NA,1.7,NA,NA
16,Ocenia,American Samoa,Fat of Pigs,NA,NA,NA,NA,NA,2.0,NA,2.7,NA,NA
16,Ocenia,American Samoa,"Cattle Hides, Fresh",NA,NA,NA,NA,NA,NA,NA,NA,25.0,8.3
24,Africa,Angola,Bovins,70.0,15.0,300.0,150.0,50.0,NA,NA,NA,NA,NA
24,Africa,Angola,Ovins,75.0,22.0,33.0,15.0,45.0,NA,NA,NA,NA,NA
24,Africa,Angola,Caprins,80.0,30.0,33.0,15.0,45.0,NA,NA,NA,NA,NA
24,Africa,Angola,Porcins,70.0,54.0,81.0,65.0,80.0,NA,NA,NA,NA,NA
24,Africa,Angola,Poules,NA,123.0,1200.0,900.0,75.0,NA,NA,NA,NA,NA
24,Africa,Angola,"Abats Comestibles,Bovins",NA,NA,NA,NA,NA,24.0,8.0,NA,NA,NA
24,Africa,Angola,Abats Comestibles Ovins,NA,NA,NA,NA,NA,2.0,6.1,NA,NA,NA
24,Africa,Angola,Abats Comestib de Chèvre,NA,NA,NA,NA,NA,1.8,5.5,NA,NA,NA
24,Africa,Angola,Abats Comestibl. de Porc,NA,NA,NA,NA,NA,2.5,3.1,NA,NA,NA
24,Africa,Angola,Graisse de Bovins,NA,NA,NA,NA,NA,5.0,NA,1.7,NA,NA
24,Africa,Angola,Graisse d'Ovins,NA,NA,NA,NA,NA,0.4,NA,1.2,NA,NA
24,Africa,Angola,Graisse de Caprins,NA,NA,NA,NA,NA,0.3,NA,0.9,NA,NA
24,Africa,Angola,Graisse de Porc,NA,NA,NA,NA,NA,3.0,NA,3.7,NA,NA
24,Africa,Angola,Peaux Fraîches de Bovins,NA,NA,NA,NA,NA,NA,NA,NA,22.0,7.3
24,Africa,Angola,Peaux Fraîches d'Ovins,NA,NA,NA,NA,NA,NA,NA,NA,2.0,6.1
